"table_name"	"column_name"	"data_type"
"tradingdata02"	"uuid"	"uuid"
"tradingdata02"	"user_db_id"	"character varying"
"tradingdata02"	"brokerage"	"character varying"
"tradingdata02"	"filename"	"character varying"
"tradingdata02"	"import_timestamp"	"numeric"
"tradingdata02"	"file_uuid"	"character varying"
"tradingdata02"	"trade_uuid"	"character varying"
"tradingdata02"	"account"	"character varying"
"tradingdata02"	"trade_date"	"date"
"tradingdata02"	"settlement_date"	"date"
"tradingdata02"	"currency"	"character varying"
"tradingdata02"	"trade_type"	"character varying"
"tradingdata02"	"side"	"character varying"
"tradingdata02"	"symbol"	"character varying"
"tradingdata02"	"quantity"	"numeric"
"tradingdata02"	"price"	"numeric"
"tradingdata02"	"execution_time"	"time without time zone"
"tradingdata02"	"commission"	"numeric"
"tradingdata02"	"fees"	"numeric"
"tradingdata02"	"gross_proceeds"	"numeric"
"tradingdata02"	"net_proceeds"	"numeric"
"tradingdata02"	"clearing_broker"	"character varying"
"tradingdata02"	"liq"	"character varying"
"tradingdata02"	"note"	"text"